,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,44.9,20,220,1800,20.0,18,13,31,16,2,2,53,0,17.8,16.2,11.5,27.8,349,535,0.9,0.65,1.55,0.8,1.45,0.89,0.58,1.47,0.81,1.39
1,vs Aston Villa,49.6,20,220,1800,20.0,32,21,53,31,1,2,56,1,24.4,22.8,17.2,40.0,369,684,1.6,1.05,2.65,1.55,2.6,1.22,0.86,2.08,1.14,2.0
2,vs Bournemouth,53.9,20,220,1800,20.0,23,18,41,22,1,1,55,2,24.5,23.7,19.0,42.7,358,700,1.15,0.9,2.05,1.1,2.0,1.23,0.95,2.17,1.19,2.14
3,vs Brentford,52.1,20,220,1800,20.0,34,25,59,33,1,1,44,2,31.9,31.1,23.4,54.6,459,896,1.7,1.25,2.95,1.65,2.9,1.6,1.17,2.77,1.56,2.73
4,vs Brighton,47.5,20,220,1800,20.0,28,18,46,25,3,3,53,3,30.5,28.1,24.2,52.3,320,660,1.4,0.9,2.3,1.25,2.15,1.52,1.21,2.73,1.4,2.62
5,vs Chelsea,41.9,20,220,1800,20.0,24,17,41,20,4,5,59,2,28.8,24.8,20.7,45.6,307,620,1.2,0.85,2.05,1.0,1.85,1.44,1.04,2.47,1.24,2.28
6,vs Crystal Palace,56.4,20,220,1800,20.0,26,21,47,26,0,1,43,1,28.1,27.3,22.4,49.6,374,824,1.3,1.05,2.35,1.3,2.35,1.4,1.12,2.52,1.36,2.48
7,vs Everton,59.8,19,209,1710,19.0,25,22,47,25,0,2,19,1,26.6,25.0,20.9,45.9,358,831,1.32,1.16,2.47,1.32,2.47,1.4,1.1,2.5,1.32,2.41
8,vs Fulham,47.6,20,220,1800,20.0,26,23,49,25,1,1,40,3,25.0,24.2,19.1,43.3,326,728,1.3,1.15,2.45,1.25,2.4,1.25,0.95,2.2,1.21,2.16
9,vs Ipswich Town,59.4,20,220,1800,20.0,35,21,56,30,5,5,33,1,41.1,37.1,29.6,66.8,425,853,1.75,1.05,2.8,1.5,2.55,2.05,1.48,3.53,1.86,3.34
10,vs Leicester City,54.2,20,220,1800,20.0,42,31,73,41,1,1,42,2,39.3,38.5,29.0,67.5,388,998,2.1,1.55,3.65,2.05,3.6,1.96,1.45,3.41,1.92,3.37
11,vs Liverpool,43.3,19,209,1710,19.0,19,15,34,19,0,1,52,0,17.7,16.8,13.5,30.3,310,584,1.0,0.79,1.79,1.0,1.79,0.93,0.71,1.64,0.88,1.59
12,vs Manchester City,38.6,20,220,1800,20.0,26,20,46,23,3,3,50,1,28.3,25.9,21.5,47.4,310,462,1.3,1.0,2.3,1.15,2.15,1.41,1.08,2.49,1.3,2.37
13,vs Manchester Utd,46.5,20,220,1800,20.0,28,20,48,25,3,4,38,1,29.8,26.8,22.1,48.9,348,628,1.4,1.0,2.4,1.25,2.25,1.49,1.1,2.6,1.34,2.44
14,vs Newcastle Utd,49.4,20,220,1800,20.0,21,20,41,21,0,0,56,1,23.4,23.4,18.4,41.8,366,721,1.05,1.0,2.05,1.05,2.05,1.17,0.92,2.09,1.17,2.09
15,vs Nott'ham Forest,60.2,20,220,1800,20.0,19,14,33,18,1,1,61,2,21.2,20.5,15.9,36.3,524,1066,0.95,0.7,1.65,0.9,1.6,1.06,0.79,1.86,1.02,1.82
16,vs Southampton,47.6,20,220,1800,20.0,44,30,74,41,3,3,39,1,46.0,43.8,35.2,79.0,418,801,2.2,1.5,3.7,2.05,3.55,2.3,1.76,4.06,2.19,3.95
17,vs Tottenham,42.2,20,220,1800,20.0,30,19,49,28,2,2,50,3,33.7,32.1,24.3,56.4,321,639,1.5,0.95,2.45,1.4,2.35,1.68,1.22,2.9,1.6,2.82
18,vs West Ham,53.3,20,220,1800,20.0,37,30,67,35,2,2,30,0,36.0,34.5,29.8,64.3,446,876,1.85,1.5,3.35,1.75,3.25,1.8,1.49,3.29,1.72,3.22
19,vs Wolves,52.2,20,220,1800,20.0,42,32,74,37,5,6,51,1,32.8,28.1,23.4,51.5,428,834,2.1,1.6,3.7,1.85,3.45,1.64,1.17,2.81,1.4,2.57
