Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,47.8,1,143,1170,13.0,2,1,24,13,1,1,37,0,1.5,13.0,0.6,22.0,255,396,1.08,0.77,1.85,1.0,1.77,1.06,0.69,1.75,1.0,1.69
1,vs Aston Villa,47.8,0,132,1080,12.0,0,0,32,18,1,2,40,1,0.0,13.0,0.0,23.3,207,377,1.58,1.08,2.67,1.5,2.58,1.21,0.86,2.07,1.08,1.94
2,vs Bournemouth,55.2,1,143,1170,13.0,2,2,34,19,0,0,43,2,0.5,15.8,0.4,28.3,236,460,1.46,1.15,2.62,1.46,2.62,1.22,0.96,2.17,1.22,2.17
3,vs Brentford,52.4,1,143,1170,13.0,1,1,41,22,0,0,32,1,1.0,21.5,1.0,38.2,296,581,1.69,1.46,3.15,1.69,3.15,1.66,1.28,2.94,1.66,2.94
4,vs Brighton,46.9,1,143,1170,13.0,1,0,28,15,2,2,37,3,1.0,19.4,0.9,36.7,222,447,1.31,0.85,2.15,1.15,2.0,1.61,1.33,2.95,1.49,2.83
5,vs Chelsea,44.8,0,132,1080,12.0,0,0,22,11,3,4,41,1,0.0,13.0,0.0,23.0,203,414,1.17,0.67,1.83,0.92,1.58,1.35,0.83,2.18,1.08,1.92
6,vs Crystal Palace,55.2,1,143,1170,13.0,0,0,30,17,0,1,29,0,0.0,18.4,0.0,33.4,236,545,1.31,1.0,2.31,1.31,2.31,1.48,1.15,2.63,1.42,2.57
7,vs Everton,59.1,0,132,1080,12.0,0,0,31,17,0,1,12,1,0.0,16.3,0.0,29.9,212,510,1.42,1.17,2.58,1.42,2.58,1.42,1.14,2.56,1.36,2.5
8,vs Fulham,46.0,0,132,1080,12.0,0,0,31,16,0,0,21,2,0.0,14.0,0.0,25.2,183,412,1.33,1.25,2.58,1.33,2.58,1.17,0.94,2.1,1.17,2.1
9,vs Ipswich Town,58.2,1,143,1170,13.0,1,0,38,21,3,3,20,0,1.6,24.3,0.8,43.1,274,520,1.85,1.08,2.92,1.62,2.69,2.05,1.45,3.5,1.87,3.32
10,vs Leicester City,53.7,1,143,1170,13.0,4,3,43,24,1,1,31,2,2.4,24.4,2.1,42.0,254,630,1.92,1.38,3.31,1.85,3.23,1.94,1.35,3.29,1.88,3.23
11,vs Liverpool,42.4,0,132,1080,12.0,0,0,14,8,0,1,36,0,0.0,9.6,0.0,17.5,180,374,0.67,0.5,1.17,0.67,1.17,0.88,0.66,1.54,0.8,1.46
12,vs Manchester City,36.6,0,132,1080,12.0,0,0,29,15,1,1,33,1,0.0,14.8,0.0,27.5,164,252,1.33,1.08,2.42,1.25,2.33,1.3,1.06,2.36,1.23,2.29
13,vs Manchester Utd,47.2,0,132,1080,12.0,0,0,23,12,1,2,23,1,0.0,16.8,0.0,30.8,220,399,1.08,0.83,1.92,1.0,1.83,1.53,1.17,2.7,1.4,2.57
14,vs Newcastle Utd,50.5,2,143,1170,13.0,1,1,26,13,0,0,40,0,1.7,17.2,1.4,31.3,255,471,1.0,1.0,2.0,1.0,2.0,1.33,1.08,2.41,1.33,2.41
15,vs Nott'ham Forest,58.3,1,143,1170,13.0,0,0,22,12,1,1,46,1,0.6,12.1,0.6,21.8,331,642,1.0,0.69,1.69,0.92,1.62,0.99,0.75,1.74,0.93,1.68
16,vs Southampton,45.5,1,143,1170,13.0,1,1,42,23,2,2,30,1,1.7,25.8,1.0,47.3,270,546,1.92,1.31,3.23,1.77,3.08,2.09,1.65,3.75,1.98,3.64
17,vs Tottenham,40.2,0,132,1080,12.0,0,0,21,13,0,0,32,2,0.0,15.1,0.0,26.8,167,342,1.08,0.67,1.75,1.08,1.75,1.26,0.97,2.23,1.26,2.23
18,vs West Ham,54.8,2,143,1170,13.0,5,3,42,21,2,2,19,0,3.5,22.1,1.9,41.3,285,569,1.77,1.46,3.23,1.62,3.08,1.82,1.48,3.3,1.7,3.18
19,vs Wolves,54.5,1,143,1170,13.0,4,1,56,27,5,5,33,0,3.3,20.1,0.9,36.9,308,624,2.46,1.85,4.31,2.08,3.92,1.85,1.29,3.14,1.55,2.84
