Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,52.1,1,154,1260,14.0,2,2,49,25,2,2,35,3,2.1,22.3,1.8,40.0,273,592,1.93,1.57,3.5,1.79,3.36,1.7,1.27,2.97,1.59,2.86
1,Aston Villa,50.8,1,154,1260,14.0,3,1,38,20,1,2,36,1,2.8,21.3,2.3,38.1,254,480,1.5,1.21,2.71,1.43,2.64,1.63,1.21,2.84,1.52,2.72
2,Bournemouth,44.8,0,143,1170,13.0,0,0,34,16,4,5,35,0,0.0,19.8,0.0,35.7,237,512,1.54,1.08,2.62,1.23,2.31,1.83,1.22,3.05,1.52,2.74
3,Brentford,47.9,1,154,1260,14.0,1,0,43,25,2,2,20,1,0.9,21.0,0.6,37.1,199,491,1.93,1.14,3.07,1.79,2.93,1.61,1.15,2.76,1.5,2.65
4,Brighton,53.1,0,143,1170,13.0,0,0,37,22,0,0,30,1,0.0,19.0,0.0,32.3,265,570,1.69,1.15,2.85,1.69,2.85,1.46,1.02,2.48,1.46,2.48
5,Chelsea,55.8,1,154,1260,14.0,5,7,56,30,1,1,47,0,5.2,28.4,4.5,51.0,314,546,2.21,1.79,4.0,2.14,3.93,2.08,1.61,3.7,2.03,3.64
6,Crystal Palace,44.9,1,154,1260,14.0,1,1,19,10,1,1,34,1,1.6,17.6,1.4,31.9,207,495,0.79,0.57,1.36,0.71,1.29,1.31,1.02,2.33,1.26,2.28
7,Everton,41.1,1,154,1260,14.0,2,0,19,12,0,0,23,1,1.3,14.7,1.0,26.2,198,411,0.86,0.5,1.36,0.86,1.36,1.05,0.82,1.87,1.05,1.87
8,Fulham,53.6,0,143,1170,13.0,0,1,35,17,1,2,31,2,0.6,17.9,0.9,33.7,284,580,1.38,1.31,2.69,1.31,2.62,1.5,1.21,2.71,1.38,2.59
9,Ipswich Town,42.7,1,154,1260,14.0,0,0,23,13,0,0,40,2,0.5,12.8,0.5,22.4,187,367,0.93,0.71,1.64,0.93,1.64,0.91,0.69,1.6,0.91,1.6
10,Leicester City,45.8,1,154,1260,14.0,3,3,35,17,2,2,37,0,1.7,13.5,1.6,25.5,229,416,1.36,1.14,2.5,1.21,2.36,1.06,0.86,1.93,0.96,1.82
11,Liverpool,56.6,1,154,1260,14.0,3,4,51,25,4,4,31,0,4.3,25.5,3.2,45.6,290,601,2.07,1.57,3.64,1.79,3.36,2.04,1.43,3.48,1.82,3.25
12,Manchester City,63.1,1,154,1260,14.0,3,3,43,24,1,1,32,0,3.2,26.5,2.6,49.6,500,804,1.79,1.29,3.07,1.71,3.0,1.95,1.65,3.6,1.9,3.54
13,Manchester Utd,53.1,1,154,1260,14.0,0,4,31,15,1,1,38,1,-0.2,18.7,1.2,35.1,232,511,1.14,1.07,2.21,1.07,2.14,1.39,1.17,2.56,1.33,2.5
14,Newcastle Utd,48.9,1,154,1260,14.0,3,3,30,15,1,2,33,1,2.1,18.5,1.6,34.2,238,531,1.14,1.0,2.14,1.07,2.07,1.43,1.12,2.55,1.32,2.44
15,Nott'ham Forest,41.1,1,154,1260,14.0,0,0,24,14,2,2,37,2,1.1,15.6,0.7,27.2,258,401,1.14,0.57,1.71,1.0,1.57,1.23,0.83,2.05,1.12,1.94
16,Southampton,53.8,1,154,1260,14.0,1,1,18,11,0,2,45,3,1.6,14.0,1.3,25.8,267,468,0.79,0.5,1.29,0.79,1.29,1.12,0.84,1.96,1.0,1.84
17,Tottenham,59.2,0,143,1170,13.0,0,1,48,26,0,0,28,0,-0.2,24.6,0.6,43.4,331,667,2.0,1.69,3.69,2.0,3.69,1.89,1.44,3.34,1.89,3.34
18,West Ham,46.4,1,154,1260,14.0,1,1,26,15,2,2,35,2,3.0,18.9,2.6,32.5,253,495,1.21,0.64,1.86,1.07,1.71,1.46,0.97,2.43,1.35,2.32
19,Wolves,46.2,1,154,1260,14.0,0,0,41,22,0,0,36,0,0.7,14.0,0.8,26.1,197,393,1.57,1.36,2.93,1.57,2.93,1.0,0.86,1.86,1.0,1.86
