,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,54.4,16,176,1440,16.0,28,23,51,26,2,2,37,3,26.8,25.3,20.6,46.0,333,740,1.75,1.44,3.19,1.62,3.06,1.68,1.29,2.97,1.58,2.87
1,Aston Villa,50.5,16,176,1440,16.0,23,18,41,22,1,2,38,1,25.5,23.9,18.9,42.9,294,566,1.44,1.13,2.56,1.37,2.5,1.59,1.18,2.78,1.5,2.68
2,Bournemouth,45.3,16,176,1440,16.0,24,16,40,20,4,5,38,0,32.4,28.4,22.1,50.5,301,657,1.5,1.0,2.5,1.25,2.25,2.02,1.38,3.4,1.78,3.16
3,Brentford,46.9,16,176,1440,16.0,32,20,52,30,2,2,25,1,25.4,23.8,18.6,42.4,226,573,2.0,1.25,3.25,1.87,3.12,1.59,1.16,2.75,1.49,2.65
4,Brighton,53.4,16,176,1440,16.0,25,17,42,25,0,0,35,1,23.0,23.0,16.1,39.1,343,682,1.56,1.06,2.62,1.56,2.62,1.43,1.01,2.44,1.43,2.44
5,Chelsea,56.5,16,176,1440,16.0,37,28,65,34,3,3,52,1,34.2,31.8,25.4,57.3,372,638,2.31,1.75,4.06,2.12,3.87,2.14,1.59,3.73,1.99,3.58
6,Crystal Palace,43.5,16,176,1440,16.0,16,13,29,15,1,1,39,1,21.9,21.1,17.5,38.6,230,540,1.0,0.81,1.81,0.94,1.75,1.37,1.09,2.46,1.32,2.41
7,Everton,39.9,15,165,1350,15.0,12,7,19,12,0,0,26,1,14.8,14.8,11.6,26.4,211,422,0.8,0.47,1.27,0.8,1.27,0.99,0.77,1.76,0.99,1.76
8,Fulham,50.8,16,176,1440,16.0,23,21,44,22,1,2,41,2,21.9,20.4,17.5,37.8,325,646,1.44,1.31,2.75,1.37,2.69,1.37,1.09,2.46,1.27,2.36
9,Ipswich Town,43.0,16,176,1440,16.0,15,12,27,15,0,0,44,2,15.2,15.2,11.9,27.1,223,416,0.94,0.75,1.69,0.94,1.69,0.95,0.74,1.69,0.95,1.69
10,Leicester City,46.1,16,176,1440,16.0,21,17,38,19,2,2,41,0,16.4,15.0,13.1,28.1,249,470,1.31,1.06,2.37,1.19,2.25,1.02,0.82,1.85,0.93,1.76
11,Liverpool,56.9,15,165,1350,15.0,31,24,55,27,4,4,34,1,30.6,27.6,21.9,49.5,308,650,2.07,1.6,3.67,1.8,3.4,2.04,1.46,3.51,1.84,3.3
12,Manchester City,62.7,16,176,1440,16.0,28,20,48,27,1,1,35,1,29.7,28.9,25.1,53.9,541,891,1.75,1.25,3.0,1.69,2.94,1.85,1.57,3.42,1.8,3.37
13,Manchester Utd,53.9,16,176,1440,16.0,20,17,37,18,2,2,39,1,23.1,21.5,18.5,40.1,276,599,1.25,1.06,2.31,1.13,2.19,1.45,1.16,2.6,1.35,2.5
14,Newcastle Utd,50.1,16,176,1440,16.0,22,19,41,21,1,2,36,1,25.3,23.7,19.7,43.4,289,641,1.37,1.19,2.56,1.31,2.5,1.58,1.23,2.81,1.48,2.71
15,Nott'ham Forest,40.9,16,176,1440,16.0,21,13,34,19,2,2,39,2,19.7,18.2,13.8,32.0,287,452,1.31,0.81,2.12,1.19,2.0,1.23,0.86,2.1,1.14,2.0
16,Southampton,53.0,16,176,1440,16.0,11,7,18,11,0,2,49,3,16.9,15.1,12.8,28.0,305,518,0.69,0.44,1.13,0.69,1.13,1.05,0.8,1.86,0.95,1.75
17,Tottenham,58.2,16,176,1440,16.0,34,28,62,34,0,0,35,0,30.6,30.6,24.1,54.7,403,789,2.12,1.75,3.87,2.12,3.87,1.91,1.51,3.42,1.91,3.42
18,West Ham,46.9,16,176,1440,16.0,20,11,31,17,3,3,42,2,23.4,21.1,15.5,36.7,292,558,1.25,0.69,1.94,1.06,1.75,1.46,0.97,2.43,1.32,2.29
19,Wolves,46.7,16,176,1440,16.0,24,21,45,24,0,0,42,1,16.7,16.7,14.3,31.0,231,467,1.5,1.31,2.81,1.5,2.81,1.05,0.89,1.94,1.05,1.94
