,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,56.3,28,308,2520,28.0,50,39,89,48,2,2,57,5,43.8,42.3,33.5,75.8,614,1357,1.79,1.39,3.18,1.71,3.11,1.56,1.2,2.76,1.51,2.71
1,Aston Villa,51.4,29,319,2610,29.0,40,31,71,38,2,3,58,2,41.2,38.8,30.4,69.2,554,1010,1.38,1.07,2.45,1.31,2.38,1.42,1.05,2.47,1.34,2.39
2,Bournemouth,46.6,28,308,2520,28.0,47,36,83,41,6,7,71,1,51.3,45.8,35.0,80.7,542,1093,1.68,1.29,2.96,1.46,2.75,1.83,1.25,3.08,1.63,2.88
3,Brentford,48.4,28,308,2520,28.0,48,31,79,44,4,4,40,1,43.9,40.7,32.0,72.7,458,1038,1.71,1.11,2.82,1.57,2.68,1.57,1.14,2.71,1.45,2.6
4,Brighton,52.2,28,308,2520,28.0,45,30,75,42,3,3,57,1,41.6,39.2,29.1,68.3,607,1139,1.61,1.07,2.68,1.5,2.57,1.49,1.04,2.52,1.4,2.44
5,Chelsea,58.1,28,308,2520,28.0,52,40,92,49,3,4,78,1,55.5,52.4,42.7,95.1,654,1173,1.86,1.43,3.29,1.75,3.18,1.98,1.53,3.51,1.87,3.4
6,Crystal Palace,43.9,28,308,2520,28.0,34,26,60,32,2,2,58,1,44.1,42.6,33.4,75.9,371,899,1.21,0.93,2.14,1.14,2.07,1.58,1.19,2.77,1.52,2.71
7,Everton,40.3,28,308,2520,28.0,28,18,46,27,1,1,60,2,30.6,29.8,23.3,53.2,355,754,1.0,0.64,1.64,0.96,1.61,1.09,0.83,1.93,1.06,1.9
8,Fulham,52.5,28,308,2520,28.0,40,36,76,37,3,4,61,2,38.8,35.7,30.4,66.1,596,1159,1.43,1.29,2.71,1.32,2.61,1.39,1.09,2.47,1.27,2.36
9,Ipswich Town,41.0,28,308,2520,28.0,25,17,42,23,2,2,74,3,26.7,25.1,17.7,42.9,383,700,0.89,0.61,1.5,0.82,1.43,0.95,0.63,1.59,0.9,1.53
10,Leicester City,45.7,28,308,2520,28.0,25,20,45,23,2,2,62,0,24.6,23.2,19.6,42.8,460,823,0.89,0.71,1.61,0.82,1.54,0.88,0.7,1.58,0.83,1.53
11,Liverpool,57.1,29,319,2610,29.0,69,51,120,60,9,9,56,2,65.0,58.0,47.2,105.2,635,1441,2.38,1.76,4.14,2.07,3.83,2.24,1.63,3.87,2.0,3.63
12,Manchester City,60.8,28,308,2520,28.0,52,39,91,51,1,2,48,1,49.7,48.0,41.4,89.4,868,1453,1.86,1.39,3.25,1.82,3.21,1.77,1.48,3.25,1.72,3.19
13,Manchester Utd,52.9,28,308,2520,28.0,32,20,52,29,3,3,64,3,38.0,35.6,28.5,64.1,478,1034,1.14,0.71,1.86,1.04,1.75,1.36,1.02,2.37,1.27,2.29
14,Newcastle Utd,50.3,28,308,2520,28.0,46,35,81,43,3,4,52,1,46.3,43.1,34.5,77.6,539,1127,1.64,1.25,2.89,1.54,2.79,1.65,1.23,2.88,1.54,2.77
15,Nott'ham Forest,39.8,28,308,2520,28.0,44,31,75,41,3,3,63,2,35.0,32.7,25.3,58.0,467,807,1.57,1.11,2.68,1.46,2.57,1.25,0.9,2.15,1.17,2.07
16,Southampton,50.1,28,308,2520,28.0,19,12,31,19,0,2,75,3,25.6,23.9,19.7,43.6,491,861,0.68,0.43,1.11,0.68,1.11,0.92,0.7,1.62,0.85,1.56
17,Tottenham,57.3,28,308,2520,28.0,52,41,93,51,1,2,54,1,46.3,44.8,35.9,80.6,655,1259,1.86,1.46,3.32,1.82,3.29,1.65,1.28,2.94,1.6,2.88
18,West Ham,47.0,28,308,2520,28.0,30,17,47,27,3,3,61,3,35.8,33.5,25.0,58.5,461,899,1.07,0.61,1.68,0.96,1.57,1.28,0.89,2.17,1.2,2.09
19,Wolves,48.1,28,308,2520,28.0,38,32,70,38,0,0,63,2,31.2,31.2,25.6,56.9,441,902,1.36,1.14,2.5,1.36,2.5,1.12,0.91,2.03,1.12,2.03
