,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,Arsenal,55.2,23,253,2070,23.0,42,32,74,40,2,2,51,4,37.6,36.1,28.3,64.4,475,1052,1.83,1.39,3.22,1.74,3.13,1.64,1.23,2.87,1.57,2.8
1,Aston Villa,49.5,23,253,2070,23.0,33,26,59,31,2,3,50,2,33.7,31.4,24.6,55.9,403,769,1.43,1.13,2.57,1.35,2.48,1.47,1.07,2.54,1.36,2.43
2,Bournemouth,46.1,23,253,2070,23.0,41,30,71,35,6,7,59,0,44.0,38.5,29.7,68.2,443,919,1.78,1.3,3.09,1.52,2.83,1.92,1.29,3.21,1.67,2.97
3,Brentford,47.7,23,253,2070,23.0,42,27,69,38,4,4,35,1,36.4,33.3,26.7,60.0,363,832,1.83,1.17,3.0,1.65,2.83,1.58,1.16,2.75,1.45,2.61
4,Brighton,53.1,23,253,2070,23.0,34,22,56,33,1,1,51,1,31.4,30.7,22.1,52.8,507,969,1.48,0.96,2.43,1.43,2.39,1.37,0.96,2.33,1.33,2.3
5,Chelsea,57.7,23,253,2070,23.0,45,34,79,42,3,3,68,1,47.0,44.6,35.6,80.2,530,949,1.96,1.48,3.43,1.83,3.3,2.04,1.55,3.59,1.94,3.49
6,Crystal Palace,43.9,23,253,2070,23.0,25,20,45,23,2,2,47,1,31.2,29.6,24.1,53.7,314,752,1.09,0.87,1.96,1.0,1.87,1.36,1.05,2.4,1.29,2.33
7,Everton,40.0,22,242,1980,22.0,16,9,25,15,1,1,48,1,21.9,21.1,16.4,37.5,290,601,0.73,0.41,1.14,0.68,1.09,1.0,0.74,1.74,0.96,1.7
8,Fulham,52.8,23,253,2070,23.0,33,29,62,30,3,4,51,2,32.4,29.2,24.9,54.1,503,944,1.43,1.26,2.7,1.3,2.57,1.41,1.08,2.49,1.27,2.35
9,Ipswich Town,40.1,23,253,2070,23.0,20,14,34,18,2,2,60,2,20.5,18.9,14.7,33.6,301,548,0.87,0.61,1.48,0.78,1.39,0.89,0.64,1.53,0.82,1.46
10,Leicester City,45.8,23,253,2070,23.0,25,20,45,23,2,2,56,0,23.1,21.7,18.5,40.1,364,666,1.09,0.87,1.96,1.0,1.87,1.0,0.8,1.81,0.94,1.74
11,Liverpool,58.0,22,242,1980,22.0,54,42,96,49,5,5,45,1,51.4,47.6,38.4,85.9,494,1145,2.45,1.91,4.36,2.23,4.14,2.34,1.75,4.08,2.16,3.91
12,Manchester City,61.1,23,253,2070,23.0,46,34,80,45,1,2,46,1,43.4,41.7,36.2,77.9,716,1209,2.0,1.48,3.48,1.96,3.43,1.89,1.57,3.46,1.81,3.39
13,Manchester Utd,53.5,23,253,2070,23.0,27,19,46,24,3,3,54,2,32.8,30.4,25.2,55.6,393,846,1.17,0.83,2.0,1.04,1.87,1.42,1.09,2.52,1.32,2.42
14,Newcastle Utd,51.1,23,253,2070,23.0,40,31,71,38,2,3,44,1,40.5,38.1,31.5,69.6,448,947,1.74,1.35,3.09,1.65,3.0,1.76,1.37,3.13,1.66,3.03
15,Nott'ham Forest,40.1,23,253,2070,23.0,33,24,57,31,2,2,54,2,28.5,26.9,20.3,47.2,401,648,1.43,1.04,2.48,1.35,2.39,1.24,0.88,2.12,1.17,2.05
16,Southampton,52.0,23,253,2070,23.0,15,11,26,15,0,2,66,3,22.8,21.0,17.5,38.6,421,744,0.65,0.48,1.13,0.65,1.13,0.99,0.76,1.75,0.91,1.68
17,Tottenham,57.8,23,253,2070,23.0,44,35,79,44,0,1,45,1,38.8,38.0,30.3,68.3,552,1088,1.91,1.52,3.43,1.91,3.43,1.69,1.32,3.01,1.65,2.97
18,West Ham,47.2,23,253,2070,23.0,27,16,43,24,3,3,56,3,30.7,28.4,21.2,49.6,386,750,1.17,0.7,1.87,1.04,1.74,1.33,0.92,2.25,1.23,2.15
19,Wolves,47.1,23,253,2070,23.0,32,27,59,32,0,0,53,2,24.1,24.1,20.1,44.2,361,718,1.39,1.17,2.57,1.39,2.57,1.05,0.87,1.92,1.05,1.92
