Unnamed: 0,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,44.9,1,209,1710,19.0,1,1,30,16,1,1,51,0,0.2,15.5,0.4,26.4,330,503,0.89,0.68,1.58,0.84,1.53,0.85,0.58,1.43,0.81,1.39
1,vs Aston Villa,50.1,1,209,1710,19.0,2,2,52,30,1,2,55,1,1.1,22.4,0.9,39.3,359,659,1.63,1.11,2.74,1.58,2.68,1.26,0.89,2.15,1.18,2.07
2,vs Bournemouth,54.5,1,209,1710,19.0,2,2,41,22,1,1,53,2,1.1,23.0,0.9,41.7,352,679,1.21,0.95,2.16,1.16,2.11,1.25,0.98,2.24,1.21,2.2
3,vs Brentford,52.2,1,209,1710,19.0,3,0,59,33,1,1,42,2,2.2,30.9,1.5,54.1,440,855,1.79,1.32,3.11,1.74,3.05,1.67,1.22,2.89,1.63,2.85
4,vs Brighton,47.1,1,209,1710,19.0,2,1,44,24,3,3,50,3,1.6,27.2,1.9,50.6,296,621,1.42,0.89,2.32,1.26,2.16,1.56,1.23,2.79,1.43,2.66
5,vs Chelsea,42.0,1,209,1710,19.0,2,1,39,19,4,5,59,2,1.6,23.7,0.6,43.5,297,596,1.21,0.84,2.05,1.0,1.84,1.46,1.04,2.5,1.25,2.29
6,vs Crystal Palace,56.2,1,209,1710,19.0,1,1,45,25,0,1,41,1,0.8,26.1,0.8,47.3,349,774,1.32,1.05,2.37,1.32,2.37,1.41,1.12,2.53,1.37,2.49
7,vs Everton,59.9,1,198,1620,18.0,2,2,45,24,0,2,17,1,1.5,23.2,1.1,42.7,334,783,1.33,1.17,2.5,1.33,2.5,1.38,1.08,2.47,1.29,2.37
8,vs Fulham,48.7,1,209,1710,19.0,2,2,47,24,0,0,35,3,1.9,23.4,1.5,42.0,315,711,1.26,1.21,2.47,1.26,2.47,1.23,0.98,2.21,1.23,2.21
9,vs Ipswich Town,58.6,1,209,1710,19.0,0,0,54,30,3,3,32,1,2.4,36.5,2.9,65.6,401,808,1.74,1.11,2.84,1.58,2.68,2.05,1.53,3.58,1.92,3.45
10,vs Leicester City,53.8,1,209,1710,19.0,2,1,70,39,1,1,42,2,1.2,37.1,1.0,65.1,374,955,2.11,1.58,3.68,2.05,3.63,1.99,1.48,3.47,1.95,3.43
11,vs Liverpool,43.1,1,198,1620,18.0,0,0,31,17,0,1,48,0,0.4,15.7,0.4,28.5,289,553,0.94,0.78,1.72,0.94,1.72,0.93,0.71,1.64,0.87,1.58
12,vs Manchester City,38.3,1,209,1710,19.0,0,0,44,22,3,3,49,1,1.3,24.5,1.0,44.8,291,431,1.32,1.0,2.32,1.16,2.16,1.42,1.06,2.48,1.29,2.36
13,vs Manchester Utd,46.2,1,209,1710,19.0,2,1,45,24,2,3,36,1,1.9,24.8,1.4,45.4,324,585,1.37,1.0,2.37,1.26,2.26,1.43,1.08,2.51,1.31,2.39
14,vs Newcastle Utd,49.0,1,209,1710,19.0,0,0,39,20,0,0,55,1,0.8,22.5,0.7,40.2,343,675,1.05,1.0,2.05,1.05,2.05,1.18,0.93,2.12,1.18,2.12
15,vs Nott'ham Forest,60.2,1,209,1710,19.0,0,0,33,18,1,1,60,2,0.9,19.0,0.9,34.1,491,998,1.0,0.74,1.74,0.95,1.68,1.04,0.8,1.84,1.0,1.8
16,vs Southampton,47.5,1,209,1710,19.0,2,1,66,37,2,2,39,1,1.9,40.1,1.3,72.3,397,763,2.05,1.42,3.47,1.95,3.37,2.19,1.7,3.88,2.11,3.81
17,vs Tottenham,42.1,1,209,1710,19.0,2,2,46,26,2,2,46,3,0.8,29.6,0.6,51.6,298,599,1.47,0.95,2.42,1.37,2.32,1.64,1.16,2.8,1.56,2.71
18,vs West Ham,53.2,1,209,1710,19.0,5,4,61,32,2,2,28,0,3.1,32.6,2.7,60.5,425,835,1.79,1.42,3.21,1.68,3.11,1.79,1.47,3.27,1.72,3.19
19,vs Wolves,52.8,1,209,1710,19.0,2,2,68,34,5,6,49,1,2.3,25.9,1.4,47.4,414,812,2.05,1.53,3.58,1.79,3.32,1.61,1.13,2.75,1.37,2.5
