,Team,Possession,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG
0,vs Arsenal,45.2,24,264,2160,24.0,22,16,38,20,2,2,59,1,21.2,19.6,14.6,34.2,417,645,0.92,0.67,1.58,0.83,1.5,0.88,0.61,1.49,0.82,1.42
1,vs Aston Villa,49.7,24,264,2160,24.0,37,25,62,36,1,2,65,1,29.8,28.2,20.9,49.1,426,836,1.54,1.04,2.58,1.5,2.54,1.24,0.87,2.11,1.18,2.05
2,vs Bournemouth,53.8,24,264,2160,24.0,28,21,49,26,2,2,64,2,31.2,29.6,23.7,53.3,443,857,1.17,0.87,2.04,1.08,1.96,1.3,0.99,2.29,1.24,2.22
3,vs Brentford,52.1,24,264,2160,24.0,40,30,70,39,1,1,50,2,39.4,38.6,30.2,68.8,550,1069,1.67,1.25,2.92,1.62,2.87,1.64,1.26,2.9,1.61,2.87
4,vs Brighton,46.5,24,264,2160,24.0,36,22,58,30,6,6,63,3,36.3,31.6,27.5,59.2,368,766,1.5,0.92,2.42,1.25,2.17,1.51,1.15,2.66,1.32,2.47
5,vs Chelsea,41.9,24,264,2160,24.0,31,21,52,26,5,6,68,2,34.2,29.5,24.5,54.0,363,723,1.29,0.87,2.17,1.08,1.96,1.43,1.02,2.45,1.23,2.25
6,vs Crystal Palace,56.5,24,264,2160,24.0,28,22,50,27,1,2,51,2,32.4,30.8,25.4,56.2,443,983,1.17,0.92,2.08,1.13,2.04,1.35,1.06,2.41,1.28,2.34
7,vs Everton,59.8,24,264,2160,24.0,30,25,55,30,0,2,29,2,30.6,29.0,23.5,52.4,448,1039,1.25,1.04,2.29,1.25,2.29,1.28,0.98,2.25,1.21,2.18
8,vs Fulham,47.3,24,264,2160,24.0,31,25,56,30,1,1,51,3,27.6,26.8,20.8,47.6,379,864,1.29,1.04,2.33,1.25,2.29,1.15,0.87,2.02,1.12,1.98
9,vs Ipswich Town,59.2,24,264,2160,24.0,49,30,79,44,5,5,39,1,47.9,44.0,35.0,78.9,516,1036,2.04,1.25,3.29,1.83,3.08,2.0,1.46,3.45,1.83,3.29
10,vs Leicester City,54.0,24,264,2160,24.0,51,39,90,50,1,1,44,2,46.6,45.8,35.2,81.1,459,1133,2.12,1.62,3.75,2.08,3.71,1.94,1.47,3.41,1.91,3.38
11,vs Liverpool,42.0,24,264,2160,24.0,23,19,42,23,0,1,64,1,21.8,20.8,16.7,37.5,387,700,0.96,0.79,1.75,0.96,1.75,0.91,0.7,1.6,0.87,1.56
12,vs Manchester City,39.2,24,264,2160,24.0,34,27,61,31,3,3,54,1,34.1,31.8,27.1,58.8,377,587,1.42,1.13,2.54,1.29,2.42,1.42,1.13,2.55,1.32,2.45
13,vs Manchester Utd,46.0,24,264,2160,24.0,33,23,56,30,3,4,45,1,36.4,33.4,26.6,59.9,421,733,1.37,0.96,2.33,1.25,2.21,1.52,1.11,2.62,1.39,2.5
14,vs Newcastle Utd,49.0,24,264,2160,24.0,28,27,55,28,0,0,69,1,29.4,29.4,23.5,52.9,449,861,1.17,1.13,2.29,1.17,2.29,1.22,0.98,2.2,1.22,2.2
15,vs Nott'ham Forest,60.0,24,264,2160,24.0,27,21,48,26,1,1,71,2,26.7,25.9,19.8,45.7,639,1282,1.13,0.87,2.0,1.08,1.96,1.11,0.83,1.94,1.08,1.9
16,vs Southampton,48.4,24,264,2160,24.0,54,36,90,50,4,4,40,1,55.9,52.9,41.0,93.9,502,959,2.25,1.5,3.75,2.08,3.58,2.33,1.71,4.04,2.2,3.91
17,vs Tottenham,42.7,24,264,2160,24.0,35,24,59,33,2,2,60,3,40.5,38.9,29.9,68.9,405,784,1.46,1.0,2.46,1.37,2.37,1.69,1.25,2.94,1.62,2.87
18,vs West Ham,53.5,24,264,2160,24.0,43,34,77,40,3,3,38,0,41.5,39.2,33.9,73.2,541,1058,1.79,1.42,3.21,1.67,3.08,1.73,1.41,3.14,1.64,3.05
19,vs Wolves,53.5,24,264,2160,24.0,49,36,85,44,5,6,59,2,39.4,34.7,28.9,63.6,529,1006,2.04,1.5,3.54,1.83,3.33,1.64,1.2,2.85,1.45,2.65
