,Team,Per 90 MinutesxG+xAG,PerformanceG+A
0,vs Arsenal,1.84,1
1,vs Aston Villa,1.89,6
2,vs Bournemouth,2.88,7
3,vs Brentford,3.23,6
4,vs Brighton,2.45,4
5,vs Chelsea,1.93,8
6,vs Crystal Palace,2.75,8
7,vs Everton,3.65,19
8,vs Fulham,2.1,6
9,vs Ipswich Town,4,11
10,vs Leicester City,2.82,10
11,vs Liverpool,1.51,0
12,vs Manchester City,1.19,2
13,vs Manchester Utd,2.68,10
14,vs Newcastle Utd,3.14,2
15,vs Nott'ham Forest,1.06,3
16,vs Southampton,2.96,7
17,vs Tottenham,2.28,6
18,vs West Ham,4,10
19,vs Wolves,2.5,17
